week,module,lessons_total,lessons_completed,quiz_score,weak_areas,status
1,Biotech landscape & business models,4,4,92,—,Complete
2,Reading a clinical trial,5,5,88,Confidence intervals,Complete
3,Trial endpoints & biostatistics,5,3,80,Power & sample size,In progress
4,FDA pathways & catalysts,4,0,,—,Not started
5,Cash runway & dilution,4,0,,—,Not started
6,Valuation & scenario analysis,4,0,,—,Not started
7,Competitive landscapes,3,0,,—,Not started
8,Market structure & technicals,4,0,,—,Not started
9,Options & flow basics,3,0,,—,Not started
10,Portfolio & risk management,4,0,,—,Not started
11,Building public research,3,0,,—,Not started
12,Capstone dossier + post-mortem,2,0,,—,Not started
