post_id,title,format,content_type,status,assigned_agent,source_research_file,script_file,visual_assets_needed,voiceover_status,animation_status,caption_status,scheduled_date,cta,disclosure_needed,platform,views,watch_through_pct,saves,shares,follows
BK-001,What a PDUFA date actually is,PharmD Explains,talking-head+avatar,Scripted,scriptwriter,outputs/research/pdufa_ref.md,scripts/S01-PDUFA-explainer-60s.md,calendar+stamp+coin,Recorded,Not started,Not started,2026-07-14,Follow for the next readout,Educational only,TikTok,,,,,
BK-002,Statistical vs clinical significance,Myth vs Mechanism,avatar,Compliance Review,compliance,outputs/research/biostat_ref.md,scripts/S02-stat-vs-clinical-significance-45s.md,trophy+patient,Not started,Not started,Not started,2026-07-17,Follow for trial literacy,Educational only,Instagram Reels,,,,,
BK-003,How to read cash runway,Cash Runway Check,talking-head+avatar,Scripted,scriptwriter,outputs/research/runway_ref.md,scripts/S03-cash-runway-60s.md,runway plane+juice,Not started,Not started,Not started,2026-07-16,Price the raise before the readout,Educational only,YouTube Shorts,,,,,
BK-004,What dilution does to your shares,PharmD Explains,avatar,Idea,strategist,outputs/research/dilution_ref.md,scripts/S04-dilution-30s.md,juice+pie,Not started,Not started,Not started,2026-07-21,Ask what you get for it,Educational only,LinkedIn,,,,,
BK-005,Primary vs secondary endpoints,Trial Design Teardown,talking-head+avatar,Filmed,caption,outputs/research/endpoints_ref.md,scripts/S05-primary-vs-secondary-endpoints-45s.md,bullseye,Recorded,Rendered,In progress,2026-07-15,Judge by the shot it called,Educational only,TikTok,,,,,
BK-006,What an AdComm vote means,PharmD Explains,avatar,Researching,strategist,outputs/research/adcomm_ref.md,scripts/S06-advisory-committee-45s.md,referee panel,Not started,Not started,Not started,2026-07-23,Mark both dates,Educational only,Instagram Reels,,,,,
BK-007,NOVX-demo catalyst in 60,Catalyst in 60,talking-head+avatar,Idea,scriptwriter,outputs/research/novx_dossier.md,scripts/S07-catalyst-in-60-TEMPLATE-60s.md,calendar+bull/bear,Not started,Not started,Not started,2026-07-20,Dossier in description,Position + estimate,YouTube Shorts,,,,,
BK-008,RENX-demo trial teardown,Trial Design Teardown,talking-head+avatar,Idea,scriptwriter,outputs/research/renx_dossier.md,scripts/S08-trial-teardown-TEMPLATE-45s.md,bullseye+whiteboard,Not started,Not started,Not started,2026-07-30,Post-mortem after readout,Position,LinkedIn,,,,,
BK-009,RENX-demo bull vs bear,Bull vs Bear,talking-head+avatar,Idea,strategist,outputs/research/renx_dossier.md,scripts/S09-bull-vs-bear-TEMPLATE-60s.md,bull+bear,Not started,Not started,Not started,2026-07-25,Dossier in description,Position,TikTok,,,,,
BK-010,30 days building in public,Meta,talking-head,Idea,brand,outputs/brand/month1_recap.md,scripts/S10-post-mortem-TEMPLATE-60s.md,marker chart,Not started,Not started,Not started,2026-08-11,Follow,Educational only,Instagram Reels,,,,,
